activities,datetime,id,imageCount,region,tags,title,username,area.id,area.name,area.slug,location.latitude,location.longitude,observations.avalanche,observations.incident,observations.quick,observations.snowpack,observations.weather
,2017-01-01T03:49:00Z,00e2f854-0e17-46a0-85ac-1131c20cd4f8,0,,['snowConditions'],Windy arm ice climbs,derek.cronmiller,,,,60.05921,-134.53467,0,0,1,0,0
,2017-01-01T03:35:00Z,0dad0721-fd44-4c76-8f53-d68a5db34389,0,Cariboos,['snowConditions'],Prosire Pines Barkerville,Richard Cronier,ef141791-2352-4fcc-a1ef-86ed440e6240,Cariboos,cariboos,53.04121304075649,-121.51977539062499,0,0,1,0,0
,2017-01-01T02:00:00Z,3ac4864a-a96d-4500-8c99-5b6d62f54c57,6,,['snowConditions'],Haines Pass (Nadahini - Green shack),jocelyn_nadeau,,,,59.70764,-136.62044,0,0,1,1,1
,2017-01-01T01:27:00Z,9797a323-7a63-49e6-be39-8b023b8e8b3c,0,Northwest Inland,['snowConditions'],Hudson Bay -AST 1 obs,hyland.backcountry.safety,f45d017f-54ce-409f-97e7-c2e65a8c7c49,Northwest Inland,northwest-inland,54.78266,-127.30861,0,0,1,0,0
,2017-01-01T00:58:00Z,8a8ba093-8e40-4110-8359-4e1ac3584a6c,0,Kootenay Boundary,['snowConditions'],auto: Quick Report,kseel,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.06378057779469,-117.04644721001385,0,0,1,0,0
,2017-01-01T00:44:00Z,2ab4eeac-afbe-4f52-b149-e2cae855db50,0,Lizard-Flathead,['snowConditions'],Careful route finding on Proctor,michaelandrewkelly,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.54336,-115.0943,0,0,1,0,0
,2017-01-01T00:09:00Z,500a8e51-9dd5-401e-a4e8-7fc62ed9abfc,0,Lizard-Flathead,['snowConditions'],Powder and sunshine,sboyd3,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.27739,-114.72626,0,0,1,0,0
,2016-12-31T22:15:29Z,c2680c79-99f1-474e-9485-1f4b975a5dbc,0,Purcells,['snowConditions'],Reudi's ridge,geoffreyjrichards,63f12039-92fd-40b0-a0fb-4f558d626409,Purcells,purcells,51.29316,-117.0836,0,0,1,1,1
,2016-12-31T22:00:00Z,7dacad54-a517-48d7-82f7-ed893c0a5cf2,0,Lizard-Flathead,['snowConditions'],2000 Ridge,jm.mccue,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.47130336001947,-115.12513160705565,0,0,1,0,0
,2016-12-31T22:00:00Z,85a4b50e-dd8b-4130-9971-14dc1db0b594,0,South Coast Inland,['snowConditions'],Honney Bronzed/Marriot Basin,chcalladine,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.41978,-122.48897,1,0,1,1,1
,2016-12-31T21:45:20Z,931cb2bf-2740-40f6-8bd1-7757c3e94e85,0,Kootenay Boundary,['snowConditions'],Baldy Rocks,lucymbeale,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.05326,-117.03416,0,0,1,0,0
